category,id,sku,name,url_key,price,regular_price,image
Pet Accessories & Litter,5016261,6223007230377,Fresh Flush Cat Litter with Green Apple Scent - 5 L,fresh-flush-cat-litter-with-green-apple-scent-5-l,320,320,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6223007230377.jpg
Pet Accessories & Litter,5016264,6223007230384,Fresh Flush Cat Litter with Rose Scent - 5 L,fresh-flush-cat-litter-with-rose-scent-5-l,320,320,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6223007230384.jpg
Pet Accessories & Litter,5016273,6223007230704,Fresh Flush Cat Litter with Lavender Scent - 5 L,fresh-flush-cat-litter-with-lavender-scent-5-l,320,320,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6223007230704.jpg
Pet Accessories & Litter,3551182,6224011512626,White Wet Gloves For Animals - 1 Piece,white-wet-gloves-for-animals-1-piece,39,39,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6224011512626.jpg
Pet Accessories & Litter,174157,6222019219370,Dog Teether - Green,dog-teether-green,56.95,56.95,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6222019219370.jpg
Pet Accessories & Litter,11565,5000166004411,Thomas Clumping Cat Litter - 5 kg,thomas-clumping-cat-litter-5-kg,159.95,159.95,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/5/0/5000166004411_1.jpg
Pet Accessories & Litter,11685,070230107206,Purina Tidy Cats Non Clumping Clay Cat Litter - 9.07 kg,purina-tidy-cats-non-clumping-clay-cat-litter-9-07-kg,439.95,439.95,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/0/7/070230107206_1.jpg
Pet Accessories & Litter,21297,5900498003437,Ludwik Animal Odor Absorbing Cleaning Liquid - 1 Liter,ludwik-animal-odor-absorbing-cleaning-liquid-1-liter,184.75,184.75,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/5/9/5900498003437.jpg
Pet Accessories & Litter,6535852,6222019204611,Orgo Anti-Parasitic Foaming Pet Shampoo - 200 ml,orgo-antiparasitic-foaming-pet-shampoo-200-ml,122,122,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6222019204611.jpg
Pet Accessories & Litter,196082,6224007860946,White Pets Wet Wipes - 54 Pieces,white-pets-wet-wipes-54-pieces,119,119,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6224007860946.jpg
Water Toys & Activites,186120,8693184952504,Boomer Water Polo Ball - Assorted Designs,boomer-water-polo-ball-assorted-designs,250,250,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/8/6/8693184952504.jpg
Water Toys & Activites,8571318,8411574033899,Beach Shovel,beach-shovel,49,49,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/8/4/8411574033899.jpg
Water Toys & Activites,8571270,6941057421704,"Intex Happy Kitten Armbands, 15-20 cm",intex-happy-kitten-armbands-15-20-cm,135,135,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6941057421704.jpg
Water Toys & Activites,8570991,162408,Sonic Splash Water Toy,sonic-splash-water-toy,69,69,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/1/6/162408.jpg
Water Toys & Activites,8570931,161996,Kids Water Gun - 2 Barrels,kids-water-gun-2-barrels,99,99,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/1/6/161996.jpg
Water Toys & Activites,5395364,6941607356173,Bestway Disney Princess Swimming Goggles  - For +3 Years,bestway-disney-princess-swimming-goggles-for-3-years,199,199,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6941607356173.jpg
Water Toys & Activites,5395346,6941607355954,Bestway Spider-Man Swimming Goggles - For +3 Years,bestway-spiderman-swimming-goggles-for-3-years,95,95,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6941607355954.jpg
Water Toys & Activites,5395334,6941607347645,Bestway Water Polo Tie-Dye Twist - 46 cm ,bestway-water-polo-tiedye-twist-46-cm,189,189,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6941607347645.jpg
Water Toys & Activites,5395331,6941607347553,Bestway Disney Junior Swimming Ring Minnie Mouse - 74*76 cm,bestway-disney-junior-swimming-ring-minnie-mouse-7476-cm,199,199,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6941607347553.jpg
Water Toys & Activites,5395328,6941607347546,Bestway Disney Junior Swimming Ring Mickey Mouse - 74*76 cm,bestway-disney-junior-swimming-ring-mickey-mouse-7476-cm,199,199,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6941607347546.jpg
Water Toys & Activites,5395325,6941607347492,Bestway Textile Sleek 'N Stretch Premium Swimming Cap,bestway-textile-sleek-n-stretch-premium-swimming-cap,299,299,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6941607347492.jpg
