id,sku,name,url_key,price,regular_price,image
3646152,2000786000000,Baladi Lamb Thigh,baladi-lamb-thigh,585.0,585.0,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2000786000000_copy_2.jpg
3645244,6223002610617,Shahd Whole Chicken - 1000 - 1100 g,shahd-whole-chicken-1000-1100-g,236.0,236.0,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6223002610617_new.jpg
3645247,6223002610624,Shahd Whole Chicken - 1100 - 1200 g,shahd-whole-chicken-1100-1200-g,259.0,259.0,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6223002610624_new.jpg
3645250,6223002610631,Shahd Whole Chicken - 1200 - 1300 g,shahd-whole-chicken-1200-1300-g,281.0,281.0,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6223002610631_new.jpg
3645253,6223002610662,Shahd Chicken Fillet - 1 kg,shahd-chicken-fillet-1-kg,429.0,429.0,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6223002610662_new.jpg
3645256,6223002610686,Shahd Shish Tawook - 1 kg,shahd-shish-tawook-1-kg,392.0,392.0,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6223002610686_new.jpg
3645259,6223002610709,Shahd Chicken thigh - 1 kg,shahd-chicken-thigh-1-kg,188.0,188.0,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6223002610709_new.jpg
3645262,6223002610723,Shahd Chicken Livers - 500 g,shahd-chicken-livers-500-g,111.0,111.0,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6223002610723_new.jpg
3645319,6223005081261,Temry Whole Chicken - 1100 - 1200 g,temry-whole-chicken-1100-1200-g,259.0,259.0,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6223005081261_new_imaage.jpg
3645322,6223005081278,Temry Whole Chicken - 1200 - 1300 g,temry-whole-chicken-1200-1300-g,281.0,281.0,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6223005081278_neww_image.jpg
3645328,6223005081407,Temry Chicken thigh - 1 kg,temry-chicken-thigh-1-kg,169.95,188.0,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6223005081407_new_imagee.jpg
3645325,6223005081322,Temry Chicken Livers - 500 g,temry-chicken-livers-500-g,108.0,108.0,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6223005081322.jpg
3645331,6223005081445,Temry Chicken Breasts Fillets - 1 kg,temry-chicken-breasts-fillets-1-kg,410.0,410.0,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6223005081445_new_imaage.jpg
573922,6223005081353,Temry Fresh Chicken Fillet - 500 g,temry-fresh-chicken-fillet-500-g,196.0,196.0,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6223005081353_new_imaage.jpg
3645340,6224000507619,Mafaza Whole Chicken - 1300 - 1400 g,mafaza-whole-chicken-1300-1400-g,272.0,272.0,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6224000507619.jpg
3645355,6224000705787,Mafaza Fillet Chicken Breasts - 1 kg,mafaza-fillet-chicken-breasts-1-kg,374.0,374.0,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6224000705787.jpg
52995,2003877000000,South African Veal Striploin,south-african-veal-striploin,900.0,900.0,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2003877000000.jpg
3646146,2000771000000,Frozen Veal Livers,frozen-veal-livers,219.95,259.95,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/l/i/liver-isolated-on-white-backgrou-removebg-preview.png
2210951,2007788000000,Marinated Curry Shish Tawook,marinated-curry-shish-tawook,321.0,321.0,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2007788000000.jpg
2210954,2007789000000,Marinated Tandoori Chicken,marinated-tandoori-chicken,244.0,244.0,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2007789000000_1.jpg
103850,2003685000000,Mafaza Baladi Chicken,mafaza-baladi-chicken,249.0,249.0,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2003685000000.jpg
31143,2003899000000,Temry Chicken Drumbstick,temry-chicken-drumbstick,154.0,154.0,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2003899000000.jpg
24423,2004022000000,Baladi Beef Shish Kebab,baladi-beef-shish-kebab,550.0,550.0,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2004022138770_copy.jpg
6720,2000758000000,Kofta Pane,kofta-pane,405.0,405.0,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2000758093932_copy.jpg
119666,2003842000000,Seoudi Marinated Half Chicken with Lemon & Coriander,seoudi-marinated-half-chicken-with-lemon-and-coriander,218.0,218.0,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2003842000000.jpg
118964,2003841000000,Seoudi Marinated Chicken Breasts with Lemon & Coriander,seoudi-marinated-chicken-breasts-with-lemon-coriander,390.0,390.0,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2003841000000.jpg
118187,2003840000000,Seoudi Marinated Chicken Thigh with Lemon & Coriander,seoudi-marinated-chicken-thigh-with-lemon-and-coriander,184.0,184.0,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2003840000000.jpg
6768,2000702000000,Baladi Lamb Neck,baladi-lamb-neck,565.0,565.0,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2000702000000.jpg
43569,2003863000000,Chicken Strips,chicken-strips,390.0,390.0,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2003863103435_copy.jpg
38214,2000774000000,Balady Whole Low Fat Beef Tenderloin,balady-whole-low-fat-beef-tenderloin,860.0,860.0,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2000774000000.jpg
96822,2000915000000,Baladi Beef Testicles,baladi-beef-testicles,270.0,270.0,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2000915000000.jpg
9585,2000787000000,Fresh Pigeons - Pack of 2,fresh-pigeons-pack-of-2,299.0,299.0,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2000787000000.jpg
15867,6224000705763,Mafaza Chicken thigh - 1 kg,mafaza-chicken-thigh-1-kg,190.0,190.0,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6224000705763_thumbnail.jpg
20823,6224000705800,Mafaza Shish Tawook - 700 g,mafaza-shish-tawook-700-g,242.0,242.0,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6224000705800_2.jpg
15903,6224000705855,Mafaza Chicken Drumsticks - 1 kg,mafaza-chicken-drumsticks-1-kg,213.0,213.0,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6224000705855_thumbnail.jpg
19698,6223005081254,Temry Whole Chicken - 1000 - 1100 g,temry-whole-chicken-1000-1100-g,245.0,245.0,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6223005081254_new_imaage.jpg
