objectID,name,slug,barcode,sku,price,special_price,brand,brand_label,category,description,image,in_stock
Webkul\Product\Models\ProductFlat::722704,محمود الفار بيض مائدة أبيض طبيعي 30 بيضة,محمود-الفار-بيض-مائدة-ابيض-طبيعى--30--بيضة-,,6222004199182,130.25,144.95,112,محمود الفار,منتجات الألبان والبيض,محمود الفار بيض مائدة أبيض طبيعي 30 بيضة,,
Webkul\Product\Models\ProductFlat::722703,Mahmoud ElFar Natural Eggs White 30 Eggs,محمود-الفار-بيض-مائدة-ابيض-طبيعى--30--بيضة-,,6222004199182,130.25,144.95,112,Mahmoud El Far,منتجات الألبان والبيض,<p>Mahmoud ELfar Table Eggs Natural White 30 Eggs</p>,,
Webkul\Product\Models\ProductFlat::2163348,محمود الفار عدس بجبة,محمود-الفار-عدس-بجبة-2007801000000,,2007801000000,50,,112,محمود الفار,Ramadan,محمود الفار عدس بجبة,,
Webkul\Product\Models\ProductFlat::1653984,محمود الفار بيض أبيض طبيعي  - 15 بيضة,محمود-الفار-بيض-مائدة-ابيض-طبيعى--15-بيضة-6224007775240,,6224007775240,90,,112,محمود الفار,منتجات الألبان والبيض,محمود الفار بيض أبيض طبيعي  - 15 بيضة,,
Webkul\Product\Models\ProductFlat::1653983,Mahmoud ELfar Natural White Eggs 15 Eggs,محمود-الفار-بيض-مائدة-ابيض-طبيعى--15-بيضة-6224007775240,,6224007775240,90,,112,Mahmoud El Far,منتجات الألبان والبيض,<p>Mahmoud ELfar Natural White Eggs - 15 Eggs</p>,,
Webkul\Product\Models\ProductFlat::1171986,محمود الفار بيض أبيض طبيعي  - 15 بيضة,محمود-الفار-بيض-مائدة-ابيض-طبيعى--15-بيضة-6224007775240,,6224007775240,76.25,,112,محمود الفار,منتجات الألبان والبيض,محمود الفار بيض أبيض طبيعي  - 15 بيضة,,
Webkul\Product\Models\ProductFlat::1171985,Mahmoud ELfar Natural White Eggs 15 Eggs,محمود-الفار-بيض-مائدة-ابيض-طبيعى--15-بيضة-6224007775240,,6224007775240,76.25,,112,Mahmoud El Far,منتجات الألبان والبيض,<p>Mahmoud ELfar Natural White Eggs - 15 Eggs</p>,,
Webkul\Product\Models\ProductFlat::1653934,محمود الفار بيض أبيض طبيعي - 10 بيضات,محمود-الفار-بيض-مائدة-ابيض-طبيعى-10--بيضة-6224007775233,,6224007775233,67.5,,112,محمود الفار,منتجات الألبان والبيض,محمود الفار بيض أبيض طبيعي - 10 بيضات,,
Webkul\Product\Models\ProductFlat::1653933,Mahmoud ElFar Natural White Eggs 10 Eggs,محمود-الفار-بيض-مائدة-ابيض-طبيعى-10--بيضة-6224007775233,,6224007775233,67.5,,112,Mahmoud El Far,منتجات الألبان والبيض,<p>Mahmoud ELfar Natural White Eggs - 10 Eggs</p>,,
Webkul\Product\Models\ProductFlat::1366323,Mahmoud ElFar Organic Baladi Eggs 10 Eggs,محمود-الفار-بيض-بلدى-اورجانيك-10-بيضة-6224007775332,,6224007775332,67.5,,112,Mahmoud El Far,منتجات الألبان والبيض,<p>Mahmoud ELfar Organic Baladi Eggs - 10 Eggs</p>,,
